years;slope_low_limit;start;end;strategy_pct;allocation_buy_hold_pct;best_all_in_asset;best_all_in_pct;BTC_all_in;BNB_all_in;VOO_all_in;GLDM_all_in;beats_best_all_in
2;0,6;2020-06-25;2026-05-29;427,02;854,13;BNBUSDT;3943,19;694,17;3943,19;145,38;154,76;False
2;0,3;2020-06-25;2026-05-29;422,96;854,13;BNBUSDT;3943,19;694,17;3943,19;145,38;154,76;False
2;0,5;2020-06-25;2026-05-29;421,87;854,13;BNBUSDT;3943,19;694,17;3943,19;145,38;154,76;False
2;0,4;2020-06-25;2026-05-29;419,87;854,13;BNBUSDT;3943,19;694,17;3943,19;145,38;154,76;False
2;0,8;2020-06-25;2026-05-29;417,65;854,13;BNBUSDT;3943,19;694,17;3943,19;145,38;154,76;False
2;0,2;2020-06-25;2026-05-29;416,74;854,13;BNBUSDT;3943,19;694,17;3943,19;145,38;154,76;False
2;0,7;2020-06-25;2026-05-29;412,56;854,13;BNBUSDT;3943,19;694,17;3943,19;145,38;154,76;False
2;0,9;2020-06-25;2026-05-29;408,10;854,13;BNBUSDT;3943,19;694,17;3943,19;145,38;154,76;False
2;0,1;2020-06-25;2026-05-29;397,89;854,13;BNBUSDT;3943,19;694,17;3943,19;145,38;154,76;False
1;0,1;2019-06-25;2026-05-29;377,23;489,80;BNBUSDT;1681,76;521,41;1681,76;158,40;219,13;False
2;0,0;2020-06-25;2026-05-29;374,69;854,13;BNBUSDT;3943,19;694,17;3943,19;145,38;154,76;False
1;0,0;2019-06-25;2026-05-29;372,93;489,80;BNBUSDT;1681,76;521,41;1681,76;158,40;219,13;False
1;0,2;2019-06-25;2026-05-29;371,53;489,80;BNBUSDT;1681,76;521,41;1681,76;158,40;219,13;False
1;0,3;2019-06-25;2026-05-29;353,96;489,80;BNBUSDT;1681,76;521,41;1681,76;158,40;219,13;False
1;0,4;2019-06-25;2026-05-29;330,14;489,80;BNBUSDT;1681,76;521,41;1681,76;158,40;219,13;False
1;0,5;2019-06-25;2026-05-29;320,97;489,80;BNBUSDT;1681,76;521,41;1681,76;158,40;219,13;False
1;0,6;2019-06-25;2026-05-29;311,85;489,80;BNBUSDT;1681,76;521,41;1681,76;158,40;219,13;False
1;0,7;2019-06-25;2026-05-29;288,53;489,80;BNBUSDT;1681,76;521,41;1681,76;158,40;219,13;False
1;0,8;2019-06-25;2026-05-29;286,62;489,80;BNBUSDT;1681,76;521,41;1681,76;158,40;219,13;False
1;0,9;2019-06-25;2026-05-29;259,82;489,80;BNBUSDT;1681,76;521,41;1681,76;158,40;219,13;False
4;0,9;2022-06-25;2026-05-29;176,59;155,55;BTCUSDT;241,80;241,80;168,30;100,50;148,29;False
4;0,8;2022-06-25;2026-05-29;175,78;155,55;BTCUSDT;241,80;241,80;168,30;100,50;148,29;False
4;0,7;2022-06-25;2026-05-29;175,16;155,55;BTCUSDT;241,80;241,80;168,30;100,50;148,29;False
4;0,5;2022-06-25;2026-05-29;174,47;155,55;BTCUSDT;241,80;241,80;168,30;100,50;148,29;False
4;0,6;2022-06-25;2026-05-29;174,14;155,55;BTCUSDT;241,80;241,80;168,30;100,50;148,29;False
4;0,4;2022-06-25;2026-05-29;168,33;155,55;BTCUSDT;241,80;241,80;168,30;100,50;148,29;False
4;0,3;2022-06-25;2026-05-29;164,93;155,55;BTCUSDT;241,80;241,80;168,30;100,50;148,29;False
4;0,2;2022-06-25;2026-05-29;162,84;155,55;BTCUSDT;241,80;241,80;168,30;100,50;148,29;False
4;0,1;2022-06-25;2026-05-29;160,23;155,55;BTCUSDT;241,80;241,80;168,30;100,50;148,29;False
3;0,6;2021-06-25;2026-05-29;155,24;114,03;GLDM;154,18;132,57;129,02;76,74;154,18;True
3;0,5;2021-06-25;2026-05-29;154,31;114,03;GLDM;154,18;132,57;129,02;76,74;154,18;True
3;0,4;2021-06-25;2026-05-29;154,23;114,03;GLDM;154,18;132,57;129,02;76,74;154,18;True
3;0,3;2021-06-25;2026-05-29;152,99;114,03;GLDM;154,18;132,57;129,02;76,74;154,18;False
3;0,7;2021-06-25;2026-05-29;152,45;114,03;GLDM;154,18;132,57;129,02;76,74;154,18;False
3;0,2;2021-06-25;2026-05-29;151,30;114,03;GLDM;154,18;132,57;129,02;76,74;154,18;False
4;0,0;2022-06-25;2026-05-29;150,50;155,55;BTCUSDT;241,80;241,80;168,30;100,50;148,29;False
3;0,8;2021-06-25;2026-05-29;148,89;114,03;GLDM;154,18;132,57;129,02;76,74;154,18;False
3;0,1;2021-06-25;2026-05-29;143,97;114,03;GLDM;154,18;132,57;129,02;76,74;154,18;False
3;0,9;2021-06-25;2026-05-29;139,40;114,03;GLDM;154,18;132,57;129,02;76,74;154,18;False
3;0,0;2021-06-25;2026-05-29;131,06;114,03;GLDM;154,18;132,57;129,02;76,74;154,18;False
5;0,6;2023-06-25;2026-05-29;129,39;116,22;BNBUSDT;169,31;141,14;169,31;70,76;136,16;False
5;0,9;2023-06-25;2026-05-29;128,02;116,22;BNBUSDT;169,31;141,14;169,31;70,76;136,16;False
5;0,7;2023-06-25;2026-05-29;127,26;116,22;BNBUSDT;169,31;141,14;169,31;70,76;136,16;False
5;0,8;2023-06-25;2026-05-29;126,29;116,22;BNBUSDT;169,31;141,14;169,31;70,76;136,16;False
5;0,5;2023-06-25;2026-05-29;125,78;116,22;BNBUSDT;169,31;141,14;169,31;70,76;136,16;False
5;0,4;2023-06-25;2026-05-29;121,90;116,22;BNBUSDT;169,31;141,14;169,31;70,76;136,16;False
5;0,2;2023-06-25;2026-05-29;118,73;116,22;BNBUSDT;169,31;141,14;169,31;70,76;136,16;False
5;0,3;2023-06-25;2026-05-29;117,86;116,22;BNBUSDT;169,31;141,14;169,31;70,76;136,16;False
5;0,1;2023-06-25;2026-05-29;114,75;116,22;BNBUSDT;169,31;141,14;169,31;70,76;136,16;False
5;0,0;2023-06-25;2026-05-29;108,30;116,22;BNBUSDT;169,31;141,14;169,31;70,76;136,16;False
6;0,5;2024-06-25;2026-05-29;21,69;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,4;2024-06-25;2026-05-29;20,74;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,6;2024-06-25;2026-05-29;20,48;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,3;2024-06-25;2026-05-29;20,11;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,9;2024-06-25;2026-05-29;19,62;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,7;2024-06-25;2026-05-29;19,59;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,8;2024-06-25;2026-05-29;19,12;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,2;2024-06-25;2026-05-29;18,31;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,1;2024-06-25;2026-05-29;15,70;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,0;2024-06-25;2026-05-29;14,12;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
7;0,9;2025-06-25;2026-05-29;-0,58;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,8;2025-06-25;2026-05-29;-1,07;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,0;2025-06-25;2026-05-29;-2,47;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,1;2025-06-25;2026-05-29;-3,11;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,2;2025-06-25;2026-05-29;-4,02;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,7;2025-06-25;2026-05-29;-5,28;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,3;2025-06-25;2026-05-29;-5,43;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,4;2025-06-25;2026-05-29;-7,18;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,6;2025-06-25;2026-05-29;-7,32;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,5;2025-06-25;2026-05-29;-8,03;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
