strategy,year,startEquity,endEquity,returnPct,avgOpenPositions,avgDeployedPct
final_trend_runner,1994,1100,1100,0,0,0
final_trend_runner,1995,1100,1100,0,0,0
final_trend_runner,1996,1100,1100,0,0,0
final_trend_runner,1997,1100,1100,0,0,0
final_trend_runner,1998,1100,1100,0,0,0
final_trend_runner,1999,1100,1100,0,0,0
final_trend_runner,2000,1100,1100,0,0,0
final_trend_runner,2001,1100,1100,0,0,0
final_trend_runner,2002,1100,1100,0,0,0
final_trend_runner,2003,1100,1100,0,0,0
final_trend_runner,2004,1100,1100,0,0,0
final_trend_runner,2005,1100,1100,0,0,0
final_trend_runner,2006,1100,1100,0,0,0
final_trend_runner,2007,1100,1100,0,0,0
final_trend_runner,2008,1100,1100,0,0,0
final_trend_runner,2009,1100,1100,0,0,0
final_trend_runner,2010,1100,1100,0,0,0
final_trend_runner,2011,1100,1073.12,-2.44,1.04,2.88
final_trend_runner,2012,1073.12,1073.14,0,3.01,8.37
final_trend_runner,2013,1075.2,1074.7,-0.05,3.44,9.11
final_trend_runner,2014,1072.1,1092.32,1.89,6.94,17.87
final_trend_runner,2015,1092.32,1040.67,-4.73,6.57,17.11
final_trend_runner,2016,1034.54,1034.84,0.03,17.72,47.67
final_trend_runner,2017,1039.53,1197.58,15.2,35.17,85.66
final_trend_runner,2018,1206.38,1169.12,-3.09,24.13,64.05
final_trend_runner,2019,1169.12,1234.67,5.61,30.27,76
final_trend_runner,2020,1241.87,1495.43,20.42,28.34,70.79
final_trend_runner,2021,1477.76,1717.95,16.25,39.04,96.45
final_trend_runner,2022,1720.32,1411.26,-17.97,10.52,27.57
final_trend_runner,2023,1410.95,1514.98,7.37,29.3,77.73
final_trend_runner,2024,1500.13,1716.75,14.44,39.24,95.35
final_trend_runner,2025,1717.13,1774.4,3.33,32.21,83.04
final_trend_runner,2026,1774.4,1892.04,6.63,35.62,88.66
old_slope_costed,2023,1099.77,1253.79,14,6,20.79
old_slope_costed,2024,1259.6,1563.38,24.12,7.6,19.98
old_slope_costed,2025,1569.38,1532.66,-2.34,9.4,20.51
old_slope_costed,2026,1541.34,1426.94,-7.42,11.82,18.2
old_slope_original_no_costs,2023,1100,1254.31,14.03,6,20.8
old_slope_original_no_costs,2024,1260.12,1564.87,24.18,7.6,19.98
old_slope_original_no_costs,2025,1570.88,1534.4,-2.32,9.41,20.54
old_slope_original_no_costs,2026,1542.95,1427.35,-7.49,11.82,18.78