period,requestedStartDate,requestedEndDate,universeCount,strategy,startDate,endDate,years,initialCash,finalEquity,netProfit,totalReturnPct,cagrPct,firstTradeDate,inactiveYearsBeforeFirstTrade,activeYears,activeTotalReturnPct,activeCagrPct,maxDrawdownPct,maxDrawdownDate,trades,buys,sells,winRatePct,profitFactor,averageTradePct,medianTradePct,averageDaysHeld,maxOpenPositions,avgOpenPositions,avgDeployedPct,activeAvgOpenPositions,activeAvgDeployedPct,feesPaid,signalsDetected,skippedEntries
Dot-com / post burbuja,2000-03-24,2002-10-09,49,final_trend_runner_dot_com_post_burbuja,2000-03-24,2002-10-09,2.54,1100,1100,0,0,0,,,,,,0,,0,0,0,,,,,,0,0,0,,,0,2489,2489
Dot-com / post burbuja,2000-03-24,2002-10-09,49,old_slope_costed_dot_com_post_burbuja,2000-03-24,2002-10-09,2.54,1100,1162.65,62.65,5.7,2.2,2000-03-24,0,2.54,5.75,2.22,-14.98,2002-07-23,343,188,155,,,,,,46,44.17,54.15,44.17,54.15,2.1,,
Crisis financiera 2008,2007-10-09,2009-03-09,58,final_trend_runner_crisis_financiera_2008,2007-10-09,2009-03-09,1.42,1100,1100,0,0,0,,,,,,0,,0,0,0,,,,,,0,0,0,,,0,650,650
Crisis financiera 2008,2007-10-09,2009-03-09,58,old_slope_costed_crisis_financiera_2008,2007-10-09,2009-03-09,1.42,1100,764.74,-335.26,-30.48,-22.65,2007-10-09,0,1.42,-30.47,-22.64,-31.88,2009-03-09,159,114,45,,,,,,56,48.71,57.13,48.71,57.13,0.9,,
COVID crash,2020-02-19,2020-03-23,177,final_trend_runner_covid_crash,2020-02-19,2020-03-23,0.09,1100,1051.45,-48.55,-4.41,-39.33,2020-02-20,0,0.09,-4.13,-38.23,-4.41,2020-03-09,43,43,86,0,0,-3.74,-3.77,3.1,36,3.21,8.86,3.35,9.25,1.27,107,64
COVID crash,2020-02-19,2020-03-23,177,old_slope_costed_covid_crash,2020-02-19,2020-03-23,0.09,1100,1079.46,-20.54,-1.87,-18.83,2020-02-25,0.02,0.07,-1.87,-22.5,-2.44,2020-03-16,17,17,0,,,,,,17,8.58,8.18,10.3,9.81,0.09,,
Bear market 2022,2022-01-03,2022-10-12,207,final_trend_runner_bear_market_2022,2022-01-03,2022-10-12,0.77,1100,933.84,-166.16,-15.11,-19.11,2022-01-04,0,0.77,-14.95,-18.98,-15.11,2022-09-22,178,178,324,1.69,0.018,-3.28,-3.35,15.8,36,9.83,26.91,9.88,27.05,4.96,875,697
Bear market 2022,2022-01-03,2022-10-12,207,old_slope_costed_bear_market_2022,2022-01-03,2022-10-12,0.77,1100,1074.05,-25.95,-2.36,-3.05,2022-01-05,0.01,0.77,-2.36,-3.06,-2.73,2022-06-14,10,10,0,,,,,,8,5.7,6.33,5.76,6.4,0.06,,
Subida tasas 2022 completo,2022-01-03,2022-12-30,207,final_trend_runner_subida_tasas_2022_completo,2022-01-03,2022-12-30,0.99,1100,914.79,-185.21,-16.84,-17.02,2022-01-04,0,0.99,-16.68,-16.9,-16.96,2022-12-28,218,218,384,4.59,0.022,-3.02,-3.25,15.5,36,9.28,25.46,9.32,25.57,5.98,1160,941
Subida tasas 2022 completo,2022-01-03,2022-12-30,207,old_slope_costed_subida_tasas_2022_completo,2022-01-03,2022-12-30,0.99,1100,1089.13,-10.87,-0.99,-1,2022-01-05,0.01,0.98,-0.99,-1,-2.73,2022-06-14,11,10,1,,,,,,8,6.2,6.85,6.25,6.91,0.06,,